label,x
SupraNationalAuthority,https://w3id.org/dpv#SupraNationalAuthority
Compliance Unknown,https://w3id.org/dpv#ComplianceUnknown
Storage Deletion,https://w3id.org/dpv#StorageDeletion
Sell Data to Third Parties,https://w3id.org/dpv#SellDataToThirdParties
Cybersecurity Assessments,https://w3id.org/dpv#CybersecurityAssessments
Audit Approved,https://w3id.org/dpv#AuditApproved
SingularScaleOfDataSubjects,https://w3id.org/dpv#SingularScaleOfDataSubjects
Structure,https://w3id.org/dpv#Structure
Consequence of Failure,https://w3id.org/dpv#ConsequenceOfFailure
Data Subject,https://w3id.org/dpv#DataSubject
Vital Interest of Natural Person,https://w3id.org/dpv#VitalInterestOfNaturalPerson
Use,https://w3id.org/dpv#Use
Legitimate Interest Assessment,https://w3id.org/dpv#LegitimateInterestAssessment
Controller-Processor Agreement,https://w3id.org/dpv#ControllerProcessorAgreement
Uninformed Consent,https://w3id.org/dpv#UninformedConsent
Obtain,https://w3id.org/dpv#Obtain
Personalised Benefits,https://w3id.org/dpv#PersonalisedBenefits
Third Party Security Procedures,https://w3id.org/dpv#ThirdPartySecurityProcedures
Federated Locations,https://w3id.org/dpv#FederatedLocations
Automated Decision Making,https://w3id.org/dpv#AutomatedDecisionMaking
Security Assessments,https://w3id.org/dpv#SecurityAssessments
LocalityScale,https://w3id.org/dpv#LocalityScale
Privacy Notice,https://w3id.org/dpv#PrivacyNotice
Hash-based Message Authentication Code (HMAC),https://w3id.org/dpv#HashMessageAuthenticationCode
Create Event Recommendations,https://w3id.org/dpv#CreateEventRecommendations
ContractualTerms,https://w3id.org/dpv#ContractualTerms
Safeguard for Data Transfer,https://w3id.org/dpv#SafeguardForDataTransfer
Vulnerable Data Subject,https://w3id.org/dpv#VulnerableDataSubject
Query,https://w3id.org/dpv#Query
Legal Basis,https://w3id.org/dpv#LegalBasis
LargeDataVolume,https://w3id.org/dpv#LargeDataVolume
Generate,https://w3id.org/dpv#Generate
AcademicScientificOrganisation,https://w3id.org/dpv#AcademicScientificOrganisation
UntilTimeDuration,https://w3id.org/dpv#UntilTimeDuration
Regularity of Re-certification,https://w3id.org/dpv#RegularityOfRecertification
Organisational Unit,https://w3id.org/dpv#OrganisationalUnit
